Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
Q9WV92-2	E41L3_MOUSE	Epb41l3	Isoform 2 of Band 4.1-like protein 3	8	6	1.38E+08	1.22E+08	1.22E+08	9.98E+07	1.33E+08	1.27E+08	1.18E+08
Q9WV92-3	E41L3_MOUSE	Epb41l3	Isoform 3 of Band 4.1-like protein 3	1	1	25927.2	13371.2	28123.5		14083.6	41049.8	30927.8
Q9WV92-7	E41L3_MOUSE	Epb41l3	Isoform 7 of Band 4.1-like protein 3	2	2	7512.08	10320.1		7383.3	12744	11028.9	10741.4
Q9WV92-8	E41L3_MOUSE	Epb41l3	Isoform 8 of Band 4.1-like protein 3	78	70	1.72E+08	1.47E+08	1.50E+08	1.12E+08	1.55E+08	1.51E+08	1.46E+08
Q9WV95	PHLA3_MOUSE	Phlda3	Pleckstrin homology-like domain family A member 3	4	4	2.16E+06	1.88E+06	2.04E+06	1.76E+06	2.64E+06	2.92E+06	2.78E+06
Q9WV96	T10B_MOUSE	Timm10b	Mitochondrial import inner membrane translocase subunit Tim10 B	7	7	1.42E+06	1.66E+06	1.34E+06	831468	2.01E+06	2.30E+06	3.14E+06
Q9WV98	TIM9_MOUSE	Timm9	Mitochondrial import inner membrane translocase subunit Tim9	5	5	2.21E+07	2.01E+07	2.76E+07	8.52E+06	2.44E+07	2.04E+07	2.47E+07
Q9WVA2	TIM8A_MOUSE	Timm8a1	Mitochondrial import inner membrane translocase subunit Tim8 A	4	3	5.00E+06	3.82E+06	4.20E+06	1.71E+06	5.00E+06	5.87E+06	6.67E+06
Q9WVA3	BUB3_MOUSE	Bub3	Mitotic checkpoint protein BUB3	14	14	9.51E+06	9.98E+06	9.36E+06	6.29E+06	1.04E+07	1.08E+07	9.97E+06
Q9WVA4	TAGL2_MOUSE	Tagln2	Transgelin-2	13	13	1.37E+07	1.44E+07	1.28E+07	1.08E+07	1.62E+07	1.67E+07	2.01E+07
Q9WVB0-2;Q9WVB0	RBPMS_MOUSE	Rbpms	RNA-binding protein with multiple splicing	3	3	28554.3	35973	24768.2	26264.5	51597.4	55349.9	44231.8
Q9WVB4	SLIT3_MOUSE	Slit3	Slit homolog 3 protein	33	33	1.49E+07	1.53E+07	1.61E+07	1.07E+07	1.46E+07	1.70E+07	1.86E+07
Q9WVC3	CAV2_MOUSE	Cav2	Caveolin-2	4	4	472394	644158	465665	424079	537358	532565	572154
Q9WVD4;Q9WVD4-2	CLCN5_MOUSE	Clcn5	H(+)/Cl(-) exchange transporter 5	3	3		4.20E+07	4.65E+07	3.39E+07	4.26E+07	4.79E+07	4.21E+07
Q9WVD5	ORNT1_MOUSE	Slc25a15	Mitochondrial ornithine transporter 1	11	11	1.07E+07	1.20E+07	1.10E+07	7.22E+06	1.10E+07	1.21E+07	1.26E+07
Q9WVE8	PACN2_MOUSE	Pacsin2	Protein kinase C and casein kinase substrate in neurons protein 2	22	22	1.87E+07	1.89E+07	1.80E+07	1.41E+07	2.01E+07	2.14E+07	1.99E+07
Q9WVF8	TUSC2_MOUSE	Tusc2	Tumor suppressor candidate 2	5	5	5.56E+06	5.65E+06	5.16E+06	4.70E+06	6.01E+06	7.25E+06	6.83E+06
Q9WVG6;Q9WVG6-2	CARM1_MOUSE	Carm1	Histone-arginine methyltransferase CARM1	16	16	8.68E+06	8.55E+06	9.03E+06	5.62E+06	7.79E+06	9.87E+06	9.87E+06
Q9WVG9;Q9WVG9-2	MS3L1_MOUSE	Msl3	Male-specific lethal 3 homolog	4	4	16439.7	24293.9	27678.3	15886.8	34597.3	30349.6	27560
Q9WVH4	FOXO3_MOUSE	Foxo3	Forkhead box protein O3	3	3	122671	180612	132208	86059.2	177287	169264	156206
Q9WVH9	FBLN5_MOUSE	Fbln5	Fibulin-5	8	8	436937	540008	404244	282336	579277	493331	860224
Q9WVI9;Q9WVI9-3	JIP1_MOUSE	Mapk8ip1	C-Jun-amino-terminal kinase-interacting protein 1	22	22	8.64E+06	9.10E+06	9.06E+06	5.69E+06	8.59E+06	1.05E+07	1.04E+07
Q9WVJ0	KCNH3_MOUSE	Kcnh3	Potassium voltage-gated channel subfamily H member 3	7	6	363867	451945	424261	239790	408449	422720	537322
Q9WVJ2	PSD13_MOUSE	Psmd13	26S proteasome non-ATPase regulatory subunit 13	31	31	2.85E+07	3.04E+07	2.88E+07	2.05E+07	3.09E+07	2.99E+07	3.17E+07
Q9WVJ3	CBPQ_MOUSE	Cpq	Carboxypeptidase Q	8	8	1.07E+07	1.23E+07	1.09E+07	8.38E+06	1.67E+07	1.42E+07	1.54E+07
Q9WVJ5	CRBB1_MOUSE	Crybb1	Beta-crystallin B1	12	12	2.79E+06	3.41E+06	3.25E+06	2.45E+06	3.48E+06	3.91E+06	3.37E+06
Q9WVK0	ATRAP_MOUSE	Agtrap	Type-1 angiotensin II receptor-associated protein	2	2						3.95E+06	
Q9WVK4	EHD1_MOUSE	Ehd1	EH domain-containing protein 1	26	25	3.79E+07	3.94E+07	3.57E+07	3.01E+07	4.26E+07	4.57E+07	4.42E+07
Q9WVK5	B4GT6_MOUSE	B4galt6	"Beta-1,4-galactosyltransferase 6"	2	2	23298.7	40404.5	32681.6	29239.1	51942.6	51772.2	34930.9
Q9WVK8	CP46A_MOUSE	Cyp46a1	Cholesterol 24-hydroxylase	36	36	1.52E+07	1.44E+07	1.62E+07	1.06E+07	1.56E+07	1.71E+07	1.76E+07
Q9WVL0	MAAI_MOUSE	Gstz1	Maleylacetoacetate isomerase	15	15	1.91E+07	1.85E+07	1.91E+07	1.31E+07	2.07E+07	2.22E+07	2.17E+07
Q9WVL1	AP4S1_MOUSE	Ap4s1	AP-4 complex subunit sigma-1	4	4	465245	441109	393312	326413	669850	674080	578189
Q9WVL2	STAT2_MOUSE	Stat2	Signal transducer and activator of transcription 2	16	16	754212	803359	818796	679175	1.22E+06	1.10E+06	1.15E+06
Q9WVL3-2	S12A7_MOUSE	Slc12a7	Isoform 2 of Solute carrier family 12 member 7	4	4		265623	287331	342925		310708	498038
Q9WVL6	EXTL3_MOUSE	Extl3	Exostosin-like 3	9	9	864617	842853	819916	654347	966968	1.12E+06	1.04E+06
Q9WVM3	APC7_MOUSE	Anapc7	Anaphase-promoting complex subunit 7	18	18	6.64E+06	6.86E+06	6.88E+06	4.95E+06	7.52E+06	8.23E+06	7.67E+06
Q9WVP1-2;Q9WVP1	AP1M2_MOUSE	Ap1m2	AP-1 complex subunit mu-2	2	2	375394	130725	228101				112098
Q9WVQ1	MAGI2_MOUSE	Magi2	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2"	52	51	1.75E+07	1.65E+07	1.67E+07	1.13E+07	1.70E+07	1.82E+07	1.84E+07
Q9WVQ5	MTNB_MOUSE	Apip	Methylthioribulose-1-phosphate dehydratase	12	12	2.71E+07	2.63E+07	2.78E+07	2.06E+07	3.02E+07	3.21E+07	3.03E+07
Q9WVR4	FXR2_MOUSE	Fxr2	RNA-binding protein FXR2	20	20	5.10E+06	5.36E+06	5.49E+06	3.94E+06	5.76E+06	6.22E+06	6.47E+06
Q9WVS6	PRKN_MOUSE	Prkn	E3 ubiquitin-protein ligase parkin	6	6	128590	110247	100931	66207.1	125460	103059	99285.1
Q9WVS7	MP2K5_MOUSE	Map2k5	Dual specificity mitogen-activated protein kinase kinase 5	8	8	1.78E+06	1.37E+06	1.70E+06	886203	1.32E+06	1.75E+06	1.52E+06
Q9WVS8;Q9WVS8-5	MK07_MOUSE	Mapk7	Mitogen-activated protein kinase 7	7	7	1.07E+06	873195	886522	740390	986954	1.37E+06	1.21E+06
Q9WVT6	CAH14_MOUSE	Ca14	Carbonic anhydrase 14	9	9	1.14E+08	9.61E+07	8.50E+07	8.28E+07	1.28E+08	1.24E+08	1.20E+08
Q9Z0E0	NCDN_MOUSE	Ncdn	Neurochondrin	50	50	5.91E+08	6.16E+08	5.24E+08	5.32E+08	6.83E+08	6.76E+08	6.91E+08
Q9Z0E2	CHRD_MOUSE	Chrd	Chordin	4	4	257082	187349	141631	206207	384509	274736	359128
Q9Z0E6	GBP2_MOUSE	Gbp2	Guanylate-binding protein 2	12	8	776598	936680	844716	815904	961375	1.08E+06	1.12E+06
Q9Z0E8	OCTN2_MOUSE	Slc22a5	Organic cation/carnitine transporter 2	3	2	123060	113419	146147	54866.3	137144	91965.4	147420
Q9Z0F4	CIB1_MOUSE	Cib1	Calcium and integrin-binding protein 1	1	1	3995.16			3619.33	5345.1	4283.99	5217.25
Q9Z0F6	RAD9A_MOUSE	Rad9a	Cell cycle checkpoint control protein RAD9A	1	1	2441.07	2285.85	4507.06	1098.03		6013.55	2869.9
Q9Z0F7	SYUG_MOUSE	Sncg	Gamma-synuclein	11	10	1.65E+08	1.75E+08	1.76E+08	1.27E+08	1.90E+08	2.10E+08	3.55E+08
Q9Z0F8	ADA17_MOUSE	Adam17	Disintegrin and metalloproteinase domain-containing protein 17	12	12	326633	298004	300413	182983	383248	345367	360764
Q9Z0G0	GIPC1_MOUSE	Gipc1	PDZ domain-containing protein GIPC1	16	15	1.73E+07	1.68E+07	1.73E+07	1.20E+07	1.78E+07	1.84E+07	1.85E+07
Q9Z0H1	WDR46_MOUSE	Wdr46	WD repeat-containing protein 46	5	5	186388	235367	339693	191870	336818	266626	314337
Q9Z0H3	SNF5_MOUSE	Smarcb1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	14	14	6.49E+06	7.41E+06	6.84E+06	4.52E+06	6.96E+06	7.53E+06	7.04E+06
Q9Z0H3-2	SNF5_MOUSE	Smarcb1	Isoform B of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	1	1	68604.7	35862.3	61301.9	32944.6	56785.2	66254.5	66565.2
Q9Z0H4-9;Q9Z0H4;Q9Z0H4-8	CELF2_MOUSE	Celf2	CUGBP Elav-like family member 2	18	16	5.58E+07	6.19E+07	5.78E+07	4.35E+07	6.57E+07	6.67E+07	6.20E+07
Q9Z0H7	BCL10_MOUSE	Bcl10	B-cell lymphoma/leukemia 10	7	7	295191	271260	270972	181101	338400	375018	311826
Q9Z0H8	CLIP2_MOUSE	Clip2	CAP-Gly domain-containing linker protein 2	68	68	5.72E+07	5.58E+07	5.48E+07	4.13E+07	6.08E+07	6.33E+07	6.18E+07
Q9Z0J0	NPC2_MOUSE	Npc2	NPC intracellular cholesterol transporter 2	5	5	8.19E+06	8.17E+06	7.46E+06	6.00E+06	9.01E+06	9.22E+06	1.05E+07
Q9Z0J1	RECK_MOUSE	Reck	Reversion-inducing cysteine-rich protein with Kazal motifs	10	10	1.63E+06	1.59E+06	1.89E+06	1.96E+06	1.92E+06	1.92E+06	2.65E+06
Q9Z0J4-5;Q9Z0J4	NOS1_MOUSE	Nos1	"Nitric oxide synthase, brain"	80	79	1.54E+07	1.89E+07	1.90E+07	1.20E+07	1.93E+07	2.26E+07	2.29E+07
Q9Z0L0	TPBG_MOUSE	Tpbg	Trophoblast glycoprotein	9	9	1.64E+07	1.77E+07	2.05E+07	7.86E+06	1.78E+07	1.99E+07	2.17E+07
Q9Z0L8;Q9Z0L8-2	GGH_MOUSE	Ggh	Gamma-glutamyl hydrolase	6	6	584715	592085	590321	403353	546462	597687	621392
Q9Z0M3	CAD20_MOUSE	Cdh20	Cadherin-20	13	12	653006	640287	653476	464541	615300	559832	610542
Q9Z0M5	LICH_MOUSE	Lipa	Lysosomal acid lipase/cholesteryl ester hydrolase	8	8	2.72E+06	2.07E+06	2.38E+06	1.79E+06	2.42E+06	2.75E+06	2.76E+06
Q9Z0M6;Q9Z0M6-3	AGRE5_MOUSE	Adgre5	Adhesion G protein-coupled receptor E5	7	7	819249	870728	844209	705319	933963	968940	1.06E+06
Q9Z0N1	IF2G_MOUSE	Eif2s3x	"Eukaryotic translation initiation factor 2 subunit 3, X-linked"	6	6	2.54E+07	2.41E+07	2.82E+07	1.66E+07	2.67E+07	2.97E+07	2.57E+07
Q9Z0N2	IF2H_MOUSE	Eif2s3y	"Eukaryotic translation initiation factor 2 subunit 3, Y-linked"	20	5	3.80E+07	3.99E+07	3.84E+07	2.69E+07	3.97E+07	4.48E+07	4.17E+07
Q9Z0P4	PALM_MOUSE	Palm	Paralemmin-1	32	30	1.37E+08	1.30E+08	1.35E+08	9.74E+07	1.39E+08	1.44E+08	1.50E+08
Q9Z0P4-2	PALM_MOUSE	Palm	Isoform 2 of Paralemmin-1	1	1	2.08E+07	2.35E+07	1.85E+07	1.20E+07	1.64E+07	1.28E+07	1.01E+07
Q9Z0P5;Q9Z0P5-2	TWF2_MOUSE	Twf2	Twinfilin-2	26	22	3.77E+07	3.53E+07	3.35E+07	2.59E+07	3.64E+07	3.96E+07	3.52E+07
Q9Z0P7;Q9Z0P7-4;Q9Z0P7-2	SUFU_MOUSE	Sufu	Suppressor of fused homolog	1	1		2.58E+08	2.68E+08				3.34E+08
Q9Z0R4	ITSN1_MOUSE	Itsn1	Intersectin-1	81	75	1.56E+08	1.53E+08	1.51E+08	1.06E+08	1.54E+08	1.71E+08	1.65E+08
Q9Z0R6	ITSN2_MOUSE	Itsn2	Intersectin-2	50	50	1.10E+07	1.06E+07	1.00E+07	7.56E+06	1.06E+07	1.07E+07	1.10E+07
Q9Z0R9	FADS2_MOUSE	Fads2	Acyl-CoA 6-desaturase	14	14	3.82E+06	3.73E+06	4.16E+06	2.63E+06	3.90E+06	3.76E+06	4.26E+06
Q9Z0S1	BPNT1_MOUSE	Bpnt1	"3'(2'),5'-bisphosphate nucleotidase 1"	17	17	1.20E+08	1.16E+08	1.08E+08	8.41E+07	1.18E+08	1.32E+08	1.29E+08
Q9Z0S2	LHX2_MOUSE	Lhx2	LIM/homeobox protein Lhx2	3	2	30093.3	40951.4	26920.2			26176.7	37127.8
Q9Z0S6;Q9Z0S6-6	CLD10_MOUSE	Cldn10	Claudin-10	4	4	6.14E+06	5.72E+06	5.66E+06	3.67E+06	5.66E+06	6.70E+06	6.35E+06
